科目,章节,题目,答案
生物,二十二、人体的呼吸,(1)肺与外界的气体交换又叫______________________________________(吸气、呼气),肺的通气
生物,二十二、人体的呼吸,3.吸气时，呼吸肌______膈顶______，胸廓容积______，肺内______，气体入肺。,收缩；下降；增大；气压下降
生物,二十二、人体的呼吸,呼气时，呼吸肌______，膈顶______，胸廓容积______，肺内______，气体出肺。,舒张；上升；减小；气压上升
生物,二十二、人体的呼吸,"4.人体的气体交换
(1)肺与外界的气体交换又叫________，原理：________(吸气、呼气)",肺的通气；呼吸运动
生物,二十二、人体的呼吸,"★人体呼出的气体和吸入的空气相比，氧气的含量________,二氧化碳的含量________。",减少；增多
生物,二十二、人体的呼吸,(2)①肺泡处的气体交换原理：______________________,气体的扩散作用。
生物,二十二、人体的呼吸,②肺泡处气体交换是：肺泡吸入氧气到血液，然后由血液中的______到肺泡。,二氧化碳
生物,二十二、人体的呼吸,③肺泡处的气体交换结果：血液与组织细胞之间的气体交换，使血液由_______________________,静脉血变成动脉血
生物,二十二、人体的呼吸,(3)①组织细胞处的气体交换原理：___________________________,气体的扩散作用
生物,二十二、人体的呼吸,②组织细胞处的气体交换是：血液中的________到血液组织细胞处，然后组织细胞处中的二氧化碳到血液,氧气
生物,二十二、人体的呼吸,③组织细胞处的气体交换结果：血液与组织细胞之间的气体交换，使血液由__________________。,动脉血变成静脉血
生物,二十二、人体的呼吸,5.肺泡适于气体交换的结构特点：(___________),两多两薄
生物,二十二、人体的呼吸,(1)肺泡多，肺泡外包裹的___________(丰富的毛细血管)。,毛细血管多
生物,二十二、人体的呼吸,"(2)________和_______________都只由_______________构成，都_____,有利于进行气体交换。",肺泡壁；毛细血管壁；一层上皮细胞；薄
生物,二十二、人体的呼吸,6.空气中的氧进入血液中的红细胞内，需经过_______________经过_______________(只进入血液则经过_______________)。,2层细胞；5层细胞膜；4层细胞膜
生物,二十三、血液循环系统,1.血液属于________组织，由________和________组成。,结缔；血浆；血细胞
生物,二十三、血液循环系统,血浆成分：水(90%)、________(7%)、葡萄糖、无机盐和尿素等血液________红细胞：运载氧气和部分二氧化碳,蛋白质
生物,二十三、血液循环系统,血浆功能：运载________，运输营养和________,血细胞；代谢废物
生物,二十三、血液循环系统,"血细胞分为红细胞，白细胞和________。
红细胞：运载________和部分二氧化碳
白细胞：________
血小板：凝血和止血",血小板；氧气；防御和保护
生物,二十三、血液循环系统,红细胞形态特点两面凹的圆饼状，富含血红蛋白(铁)，成熟后________无核。数量________，有运输氧和部分二氧化碳的功能，说明红细胞________是贫血,无核；最多；缺少
生物,二十三、血液循环系统,白细胞形态特点________，形态多样，_____核，数量最少，有吞噬病菌，防御和保护的功能，说明白细胞多有炎症。,最大；有核
生物,二十三、血液循环系统,血小板形态特点________，不规则，无核。数量较少，有凝血和止血的功能，说明血小板少有出血异常，血小板多有________。,最小；血栓
生物,二十三、血液循环系统,动脉功能送血________，分布较深，结构特点是管壁________，弹性________，管径________。,出心；管壁较厚，弹性大，管径小
生物,二十三、血液循环系统,静脉功能送血________，分布较浅，结构特点是管壁________，弹性________，管径________。,回心；管壁较薄，弹性小，管径大
生物,二十三、血液循环系统,毛细血管功能连接最小________和最小________物质交换的场所，分布广，遍布________，结构特点是管壁________，只由一层上皮细胞构成管径最小，只允许________单行通过。,最小动脉和最小静脉；全身；最薄；红细胞
生物,二十三、血液循环系统,★四肢静脉有________，防止血液倒流；,静脉瓣
生物,二十三、血液循环系统,★“把脉”把的是________；所谓的“________”是静脉血管，用于抽血或输血、输液。,动脉；青筋
生物,二十三、血液循环系统,★血液在三种血管中的流动方向：一般由________________________________________________________________。,最小动脉→毛细血管→最小静脉
生物,二十三、血液循环系统,肾小球为特殊的毛细血管球，其血流方向为________________________________________________________________。,入球小动脉→肾小球→出球小动脉
生物,二十三、血液循环系统,3.心脏：血液循环的________器官。心脏壁主要是由________组织构成，心室的壁比________，最厚的是________。,动力；肌肉；心房厚；左心室
生物,二十三、血液循环系统,血管连接情况(房连静，室连动):右心房——上、下腔静脉；左心房——________；右心室——________；左心室——________,肺静脉；肺动脉；主动脉
生物,二十三、血液循环系统,"(1)心房与心室之间有________(只向心室开),保证血液从心房→心室，不会倒流。",房室瓣
生物,二十三、血液循环系统,"(2)心室与动脉之间有________(在心脏里面，只向动脉开),保证血液从心室→动脉，不会倒流。",动脉瓣
生物,二十三、血液循环系统,4.血液在心脏处的流动方向：______________________________,静脉→心房→心室→动脉
生物,二十三、血液循环系统,(1)________的途径：________→主动脉→各级动脉→全身毛细血管网→各级静脉→上、下腔静脉→_______________(左→右),体循环；左心室；右心房
生物,二十三、血液循环系统,(2)_________的途径：________→肺动脉→肺部毛细血管→肺静脉→________(右→左),肺循环；右心室；左心房
生物,二十三、血液循环系统,"★肺循环和体循环________,在心脏处汇合。",同时进行
生物,二十三、血液循环系统,"5.区别动脉血和静脉血：动脉血：含氧________,颜色________。静脉血：含氧________,颜色________。",丰富；鲜红；较少；暗红
生物,二十三、血液循环系统,★不是所有的动脉都流动脉血，如________里流的是________;,肺动脉；静脉血
生物,二十三、血液循环系统,★不是所有的静脉都流静脉血，如________里流的是________。,肺静脉里；动脉血
生物,二十三、血液循环系统,"6.静脉注射，药物最先到达心脏的_______________,到达病灶至少经过心脏_____次(肺炎除外，经过心脏1次)。氧气最先到达心脏的________,到达组织细胞需经过心脏_次。",右心房；2；左心房；1
生物,二十三、血液循环系统,7.血液流经___________增多，_________减少；,肺氧气；二氧化碳
生物,二十三、血液循环系统,血液流经组织细胞，________、________增多，________、________减少；,二氧化碳、代谢废物；氧气、营养物质
生物,二十三、血液循环系统,血液流经________、________、________增多，________减少；,小肠，二氧化碳；营养物质；氧气
生物,二十三、血液循环系统,血液流经_______________________增多，________________减少。,肾脏，二氧化碳增多，氧气；尿素
生物,二十三、血液循环系统,8.输血原则：大量输血时应以输入________为原则，紧急情况下可输入______________________________,同型血；少量的O型血。O型血是万能输血者；AB型血是万能受血者
生物,二十三、血液循环系统,9.我国提倡_______________的健康公民自愿献血；健康成年人每次献血_______________不会影响健康。一次失血超过1200—1500毫升就会发生生命危险，需要及时输血。,18~55周岁；200—300毫升
生物,二十三、血液循环系统,"10.成分输血(缺什么补什么):大面积烧伤输入________,血流不止输入________,严重贫血输",血浆；血小板；红细胞
生物,二十四、人体内废物的排出,1._______：人体将______________________________等排出体外的过程。,排泄；二氧化碳、尿素，以及多余的水和无机盐
